Date,Open,High,Low,Close,Volume,Day_Perc_Change,Close_stationary,Polarity,Subjectivity
2001-01-03,3977.580078125,4067.659912109375,3977.580078125,4060.02001953125,0,1.0236717174527454,41.14013671875,0.01128048780487805,0.061890243902439024
2001-01-04,4180.97021484375,4180.97021484375,4109.5498046875,4115.3701171875,0,1.3632961756341322,55.35009765625,0.02804725829725829,0.14456493506493506
2001-01-05,4116.33984375,4195.009765625,4115.35009765625,4183.72998046875,0,1.6610866418976578,68.35986328125,0.14052083333333332,0.2313541666666667
2001-01-08,4164.759765625,4206.72021484375,4101.52978515625,4120.43017578125,0,-1.5129992849205798,-63.2998046875,0.013088118022328548,0.1080641945773525
2001-01-09,4114.740234375,4166.83984375,4101.009765625,4125.31005859375,0,0.11843139197413866,4.8798828125,0.012452020202020209,0.1698585858585859
2001-01-10,4151.580078125,4155.85986328125,4035.43994140625,4047.639892578125,0,-1.8827715956482916,-77.670166015625,0.0,0.0
2001-01-23,4277.830078125,4321.75,4272.8701171875,4296.68994140625,0,0.6932110743043784,29.580078125,0.02838842975206611,0.09114325068870523
2001-01-24,4320.509765625,4339.41015625,4295.7099609375,4326.419921875,0,0.6919275273332692,29.72998046875,0.03481481481481481,0.10074074074074074
2001-01-25,4327.83984375,4341.330078125,4273.7001953125,4330.22021484375,0,0.08783920741339823,3.80029296875,0.0004296536796536806,0.20311471861471864
2001-01-29,4158.85986328125,4262.759765625,4158.85986328125,4234.56982421875,0,-2.208903609500412,-95.650390625,0.06191919191919192,0.09906565656565657
2001-01-30,4269.41015625,4373.22021484375,4256.759765625,4372.0400390625,0,3.246379692631751,137.47021484375,0.03548303548303548,0.10678580678580679
2001-01-31,4367.580078125,4409.330078125,4322.68017578125,4326.72021484375,0,-1.0365830096210171,-45.31982421875,0.014102564102564105,0.05598290598290599
2001-02-01,4303.1298828125,4355.39013671875,4230.169921875,4286.10986328125,0,-0.9385943519799933,-40.6103515625,0.02350340136054422,0.09860544217687076
2001-02-02,4280.9599609375,4373.39990234375,4280.9599609375,4352.259765625,0,1.5433552674524398,66.14990234375,0.0475,0.0695
2001-02-05,4337.52001953125,4397.18994140625,4337.52001953125,4370.47021484375,0,0.41841365633963346,18.21044921875,-0.01607939863753817,0.10966643175945501
2001-02-06,4392.240234375,4404.669921875,4369.93017578125,4375.2900390625,0,0.11028159401200721,4.81982421875,0.013692480359147026,0.12053872053872053
2001-02-07,4376.919921875,4379.22021484375,4303.27978515625,4312.93017578125,0,-1.4252738155528522,-62.35986328125,-0.007045454545454546,0.12551515151515152
2001-02-08,4293.8701171875,4387.85009765625,4290.8798828125,4381.18994140625,0,1.5826772714361281,68.259765625,0.11697443181818182,0.20606060606060608
2001-02-09,4395.43994140625,4436.47998046875,4387.990234375,4397.330078125,0,0.36839618767063875,16.14013671875,0.07272727272727274,0.16534090909090907
2001-02-12,4429.91015625,4446.080078125,4389.02001953125,4406.2998046875,0,0.20398119775271173,8.9697265625,0.028416666666666666,0.24658333333333332
2001-02-13,4437.31982421875,4440.759765625,4354.10009765625,4363.0498046875,0,-0.9815491890495021,-43.25,-0.03064856150793651,0.09512028769841269
2001-02-14,4350.330078125,4375.509765625,4320.89013671875,4363.10986328125,0,0.0013765278059629793,0.06005859375,-0.010608835608835607,0.18346098346098347
2001-02-15,4372.60009765625,4459.18994140625,4371.9501953125,4437.990234375,0,1.7162155765070963,74.88037109375,0.03149350649350649,0.09159090909090908
